date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,hour,time_of_day_D,time_of_day_N,predictions,day_or_night,MAN
2016-01-11 17:00:00,60,30,19.89,47.59666667,19.2,44.79,19.79,44.73,19.0,45.56666667,17.16666667,55.2,7.026666667000001,84.25666667,17.2,41.62666667,18.2,48.9,17.03333333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,17,1,0,163.07024070047146,D,A
2016-01-11 17:10:00,60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,19.0,45.9925,17.16666667,55.2,6.833333333,84.06333333,17.2,41.56,18.2,48.86333333,17.06666667,45.56,6.48,733.6,92.0,6.666666667,59.16666667,5.2,17,1,0,151.25800961688765,D,A
2016-01-11 17:20:00,50,30,19.89,46.3,19.2,44.62666667,19.79,44.93333333,18.92666667,45.89,17.16666667,55.09,6.56,83.15666667,17.2,41.43333333,18.2,48.73,17.0,45.5,6.37,733.7,92.0,6.333333333,55.33333333,5.1,17,1,0,148.8861926908205,D,A
2016-01-11 17:40:00,60,40,19.89,46.33333333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.3666666670000005,84.89333333,17.2,41.23,18.1,48.59,17.0,45.4,6.13,733.9,92.0,5.666666667,47.66666667,4.9,17,1,0,165.92044860278713,D,A
2016-01-11 17:50:00,50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,18.89,45.73,17.13333333,55.03,6.3,85.76666667,17.13333333,41.26,18.1,48.59,17.0,45.29,6.02,734.0,92.0,5.333333333,43.83333333,4.8,17,1,0,162.13185878514327,D,A
2016-01-11 18:10:00,60,50,19.85666667,45.56,19.2,44.5,19.73,44.9,18.89,45.86333333,17.1,54.9,6.19,86.42333333,17.1,41.2,18.1,48.59,17.0,45.29,5.92,734.1666667000003,91.83333333,5.166666667,40.0,4.68,18,1,0,170.99643203684838,D,A
2016-01-11 18:20:00,60,40,19.79,45.5975,19.2,44.43333333,19.73,44.79,18.89,45.79,17.16666667,55.0,6.123333333,87.22666667,17.16666667,41.4,18.1,48.59,17.0,45.29,5.93,734.2333332999997,91.66666667,5.333333333,40.0,4.67,18,1,0,156.16138528864633,D,A
2016-01-11 18:30:00,70,40,19.85666667,46.09,19.23,44.4,19.79,44.86333333,18.89,46.09666667,17.1,55.0,6.19,87.62666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65,18,1,0,164.27025444633165,D,A
2016-01-11 19:00:00,430,50,20.13333333,48.0,19.56666667,44.4,19.89,44.9,19.0,46.36333333,17.1,55.09,6.123333333,88.59,17.82333333,45.49333333,18.06666667,48.56,16.96333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,19,0,1,153.96295798970348,N,N
2016-01-11 19:10:00,250,40,20.26,52.72666667,19.73,45.1,19.89,45.49333333,19.0,47.22333333,17.1,55.16333333,6.0675,88.215,17.96333333,46.16,18.03333333,48.66666667,16.89,45.32666667,6.0,734.6166667,90.5,6.0,40.0,4.52,19,0,1,191.3876569252333,N,N
2016-01-11 19:20:00,100,10,20.42666667,55.89333333,19.85666667,45.83333333,20.03333333,47.52666667,19.0,48.69666667,17.1,55.5,5.9,88.15666667,17.96333333,45.53333333,18.1,49.19333333,16.89,45.345,6.0,734.7333332999997,90.0,6.0,40.0,4.43,19,0,1,178.8161231089227,N,N
