,date,Applicances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,d_date,time
0,2016-01-23 06:10:00,,0,17.29,43.2,16.29,43.29,17.7,41.26,15.3,42.5,15.55555556,48.91111111,6.4,99.9,15.69,38.09,16.64444444,45.94444444,15.19,42.36333333,5.9,766.7333332999999,99.83333333,4.0,14.0,5.87,2016-01-23,06:10:00
1,2016-01-28 13:00:00,,0,19.1,45.82666667,18.39,45.26,19.7,44.56,18.2,45.59,17.2,52.333999999999996,6.4,97.42333333,17.95722222,41.46111111,17.945,47.66944444,16.96333333,46.62666667,7.3,765.2,74.0,2.0,40.0,2.9,2016-01-28,13:00:00
2,2016-02-26 06:00:00,,0,20.29,38.93333333,18.5,40.4,21.29,38.79,20.29,36.29,18.79,42.79,1.29,83.46666667,19.2,37.4,20.6,43.59,18.0,41.4,1.1,755.3,95.0,1.0,46.0,0.4,2016-02-26,06:00:00
3,2016-01-12 03:20:00,,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.09333333,17.89,46.2,19.2,55.09,17.0,48.03,4.83,739.1333333,92.33333333,4.666666667,40.0,3.67,2016-01-12,03:20:00
4,2016-01-13 06:00:00,,0,18.89,44.29,18.2,44.0,19.92666667,45.03,18.46333333,44.16333333,17.16666667,52.79,5.56,78.36666667,18.00555556,45.30166667,18.7,53.38705882,17.2,50.26,5.0,752.8,90.0,7.0,23.0,3.4,2016-01-13,06:00:00
5,2016-01-19 11:20:00,,0,18.7,40.56,17.5,40.82666667,19.03333333,39.82666667,18.29,37.96666667,16.68888889,56.62055556,-3.9294444439999996,87.94944444,17.43277778,33.35222222,18.79,42.065,16.6,38.5,-2.13,757.4666667,79.0,1.0,49.33333333,-5.37,2016-01-19,11:20:00
6,2016-01-19 13:40:00,,0,19.0,39.9,17.79,40.4,19.06666667,39.86333333,18.1,37.29,16.58888889,55.82777778,-1.122222222,92.05333333,18.1,32.275,19.29,40.66333333,16.89,38.09,-0.13,757.4,66.66666667,1.0,22.0,-5.67,2016-01-19,13:40:00
7,2016-01-19 15:40:00,,0,19.29,40.12666667,18.1,40.53,19.1,39.59,18.29,37.66333333,16.46333333,55.25,-0.404761905,93.75238095,19.29,31.87333333,20.05,39.79,16.89,38.59,0.77,757.2666667000001,60.33333333,1.0,27.0,-6.1,2016-01-19,15:40:00
8,2016-01-20 05:00:00,,0,18.7,39.0,17.39,39.4,19.0,39.26,17.46333333,38.26,16.89,48.59,-4.663333333,88.36444444,17.1,33.0,19.29,45.2,16.39,41.9,-4.0,759.1,90.0,1.0,61.0,-5.4,2016-01-20,05:00:00
9,2016-01-21 08:20:00,,0,18.06666667,38.72333333,17.0,37.96666667,18.39,39.23,16.89,36.82666667,16.2,49.77444444,-3.03,90.95666667,15.885,32.20388889,18.53888889,42.94277778,15.7175,40.375,-3.3,763.4333333,91.66666667,1.0,51.66666667,-4.5,2016-01-21,08:20:00
10,2016-01-22 01:10:00,,0,20.1,37.23,19.16666667,36.82666667,19.26,39.66333333,16.89,38.09,17.37333333,44.49833333,-1.9,94.3,16.6,32.255,19.29,44.41666667,15.92666667,41.23,-0.3,765.0,88.83333333,3.0,61.16666667,-1.93,2016-01-22,01:10:00
